Week,Away Team,Home Team,Away Team Score,Home Team Score,Winning Team
1,Lions,Chiefs,21,20,Lions
1,Panthers,Falcons,10,24,Falcons
1,Bengals,Browns,3,24,Browns
1,Jaguars,Colts,31,21,Jaguars
1,Buccaneers,Vikings ,20,17,Buccaneers
1,Titans,Saints,15,16,Saints
1,49ers,Steelers,30,7,49ers
1,Cardinals,Commanders,16,20,Commanders
1,Texans,Ravens ,9,25,Ravens
1,Packers,Bears,38,20,Packers
1,Raiders,Broncos,17,16,Raiders
1,Patriots,Eagles ,20,25,Eagles
1,Dolphins,Chargers,36,34,Dolphins
1,Rams,Seahawks,30,13,Rams
1,Cowboys,Giants,40,0,Cowboys
1,Bills ,Jets,16,22,Jets
2,Vikings,Eagles ,28,34,Eagles
2,Packers,Falcons,24,25,Falcons
2,Raiders,Bills,10,38,Bills
2,Ravens,Bengals,27,24,Ravens
2,Seahawks,Lions,37,31,Seahawks
2,Chargers,Titans,24,27,Titans
2,Bears,Buccaneers,17,27,Buccaneers
2,Chiefs,Jaguars,17,9,Chiefs
2,Colts,Texans,31,20,Colts
2,49ers,Rams,30,23,49ers
2,Giants ,Cardinals,31,28,Giants
2,Jets,Cowboys,10,30,Cowboys
2,Commanders,Broncos,35,33,Commanders
2,Dolphins,Patriots,24,17,Dolphins
2,Saints,Panthers,20,17,Saints
2,Browns,Steelers,22,26,Steelers
3,Giants ,49ers,12,30,49ers
3,Titans,Browns,3,27,Browns
3,Falcons,Lions,6,20,Lions
3,Saints,Packers,17,18,Packers
3,Broncos,Dolphins,20,70,Dolphins
3,Chargers,Vikings ,28,24,Chargers
3,Patriots,Jets,15,10,Patriots
3,Bills ,Commanders,37,3,Bills
3,Texans,Jaguars,37,17,Texans
3,Colts,Ravens ,22,19,Colts
3,Panthers,Seahawks,27,37,Seahawks
3,Bears,Chiefs,10,41,Chiefs
3,Cowboys,Cardinals,16,28,Cardinals
3,Steelers,Raiders,23,18,Steelers
3,Eagles,Buccaneers,25,11,Eagles
3,Rams,Bengals,16,19,Bengals
4,Lions,Packers,34,20,Lions
4,Falcons,Jaguars,7,23,Jaguars
4,Dolphins,Bills,20,48,Bills
4,Broncos,Bears,31,28,Broncos
4,Ravens,Browns,28,3,Ravens
4,Bengals,Titans,3,27,Titans
4,Rams,Colts,29,23,Rams
4,Buccaneers,Saints,26,9,Buccaneers
4,Commanders,Eagles ,31,34,Eagles
4,Vikings,Panthers,21,13,Vikings
4,Steelers,Texans,6,30,Texans
4,Raiders,Chargers,17,24,Chargers
4,Patriots,Cowboys,3,38,Cowboys
4,Cardinals,49ers,16,35,49ers
4,Chiefs,Jets,23,20,Chiefs
4,Seahawks,Giants,24,3,Seahawks
5,Bears,Commanders,40,20,Bears
5,Jaguars,Bills,25,20,Jaguars
5,Texans,Falcons,19,21,Falcons
5,Panthers,Lions,24,42,Lions
5,Titans,Colts,16,23,Colts
5,Giants ,Dolphins,16,31,Dolphins
5,Saints,Patriots,34,0,Saints
5,Ravens,Steelers,10,17,Steelers
5,Eagles,Rams,23,14,Eagles
5,Bengals,Cardinals,34,20,Bengals
